IssueID,ProjectName,Politeness,FixingTime_hours,Assignee,AssigneeAct,Project
4178,Hibernate ORM,mixed,101.264,0,null,HHH
613970,GeoServer,impolite,433.0441,4933,VHIGH,GEOS
613971,GeoServer,mixed,96.8927,4933,VHIGH,GEOS
334248,Cassandra,impolite,10.1576,17215,VHIGH,CASSANDRA
334246,Cassandra,impolite,136.8414,7992,VHIGH,CASSANDRA
613975,GeoServer,polite,620.4189,75834,VHIGH,GEOS
613965,GeoServer,mixed,970.5559,76050,VHIGH,GEOS
613967,GeoServer,polite,94.7603,4933,VHIGH,GEOS
334251,Cassandra,impolite,23.1273,21449,VHIGH,CASSANDRA
334252,Cassandra,mixed,7650.1559,21781,HIGH,CASSANDRA
334250,Cassandra,mixed,5784.2834,59067,HIGH,CASSANDRA
334239,Cassandra,impolite,71.1975,0,null,CASSANDRA
613960,GeoServer,impolite,148.6616,76050,VHIGH,GEOS
334235,Cassandra,impolite,14671.6671,0,null,CASSANDRA
613954,GeoServer,impolite,811.8989,4933,VHIGH,GEOS
334245,Cassandra,polite,173.8152,17215,VHIGH,CASSANDRA
613955,GeoServer,polite,4.4344,4933,VHIGH,GEOS
334242,Cassandra,impolite,3815.5051,18868,VHIGH,CASSANDRA
334243,Cassandra,impolite,170.2885,18868,VHIGH,CASSANDRA
334240,Cassandra,impolite,85.3004,21449,VHIGH,CASSANDRA
334241,Cassandra,polite,138.9767,21449,VHIGH,CASSANDRA
4197,Hibernate ORM,impolite,8585.6264,110,VHIGH,HHH
334228,Cassandra,mixed,27099.4449,58357,HIGH,CASSANDRA
334226,Cassandra,impolite,50.8072,21449,VHIGH,CASSANDRA
613951,GeoServer,polite,22359.6422,4933,VHIGH,GEOS
613952,GeoServer,polite,24.4377,4933,VHIGH,GEOS
4193,Hibernate ORM,impolite,19.6307,0,null,HHH
334215,Cassandra,mixed,167.968,21895,VHIGH,CASSANDRA
334214,Cassandra,polite,11.0521,21449,VHIGH,CASSANDRA
334222,Cassandra,impolite,209.374,21787,HIGH,CASSANDRA
334220,Cassandra,impolite,1.5043,0,null,CASSANDRA
334208,Cassandra,impolite,63.2531,21895,VHIGH,CASSANDRA
334206,Cassandra,mixed,1957.1708,18868,VHIGH,CASSANDRA
334202,Cassandra,polite,13675.3344,0,null,CASSANDRA
334203,Cassandra,impolite,25510.0172,0,null,CASSANDRA
334212,Cassandra,polite,104.7152,17215,VHIGH,CASSANDRA
334210,Cassandra,polite,1.4974,39117,HIGH,CASSANDRA
539555,JRuby (please use github issues at http://bugs.jruby.org),polite,55.7458,74274,VHIGH,JRUBY
539559,JRuby (please use github issues at http://bugs.jruby.org),mixed,6331.6625,87535,VHIGH,JRUBY
539551,JRuby (please use github issues at http://bugs.jruby.org),mixed,12461.7345,87535,VHIGH,JRUBY
539566,JRuby (please use github issues at http://bugs.jruby.org),impolite,32300.5462,87535,VHIGH,JRUBY
539564,JRuby (please use github issues at http://bugs.jruby.org),mixed,35484.4656,46258,VHIGH,JRUBY
539565,JRuby (please use github issues at http://bugs.jruby.org),mixed,2822.0285,87535,VHIGH,JRUBY
539569,JRuby (please use github issues at http://bugs.jruby.org),polite,7782.2709,46258,VHIGH,JRUBY
192406,Hive,impolite,4550.6003,44834,HIGH,HIVE
192407,Hive,mixed,6905.4262,44834,HIGH,HIVE
192409,Hive,polite,2981.6828,32642,HIGH,HIVE
192401,Hive,impolite,22.3466,25336,STD,HIVE
192404,Hive,polite,1219.0821,36385,VHIGH,HIVE
192405,Hive,mixed,6489.9059,30457,HIGH,HIVE
226401,Hadoop Common,polite,21.581,35673,STD,HADOOP
539599,JRuby (please use github issues at http://bugs.jruby.org),polite,12899.6917,46258,VHIGH,JRUBY
226417,Hadoop Common,impolite,285.3028,36067,HIGH,HADOOP
539592,JRuby (please use github issues at http://bugs.jruby.org),impolite,1906.6504,87535,VHIGH,JRUBY
539590,JRuby (please use github issues at http://bugs.jruby.org),polite,5707.3572,89422,VHIGH,JRUBY
226413,Hadoop Common,polite,1293.4982,36312,HIGH,HADOOP
539595,JRuby (please use github issues at http://bugs.jruby.org),impolite,0.0982,87535,VHIGH,JRUBY
539596,JRuby (please use github issues at http://bugs.jruby.org),impolite,0.1072,74274,VHIGH,JRUBY
539593,JRuby (please use github issues at http://bugs.jruby.org),polite,3164.5973,46258,VHIGH,JRUBY
226416,Hadoop Common,mixed,74.3237,0,null,HADOOP
226420,Hadoop Common,impolite,457.1683,36330,HIGH,HADOOP
226422,Hadoop Common,mixed,195.59,30471,VHIGH,HADOOP
226423,Hadoop Common,polite,1280.1676,36067,HIGH,HADOOP
226406,Hadoop Common,mixed,48.63,8527,VHIGH,HADOOP
226407,Hadoop Common,polite,2734.8854,8552,VHIGH,HADOOP
226408,Hadoop Common,mixed,82.759,0,null,HADOOP
226409,Hadoop Common,impolite,0.0323,0,null,HADOOP
226403,Hadoop Common,polite,1087.2652,45823,STD,HADOOP
226404,Hadoop Common,mixed,79.1769,30802,STD,HADOOP
226405,Hadoop Common,mixed,670.1099,36312,HIGH,HADOOP
